@RELATION MNIST_038_database

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE var NUMERIC
@ATTRIBUTE proy_0-3 NUMERIC
@ATTRIBUTE proy_8-3 NUMERIC
@ATTRIBUTE proy_0-8 NUMERIC
@ATTRIBUTE class {cero,tres,ocho}

@DATA
0.156,0.108,31.181,1.970,29.211,cero
0.177,0.122,30.752,0.487,30.265,cero
0.183,0.130,11.192,6.597,4.595,cero
0.186,0.129,23.130,3.379,19.750,cero
0.228,0.152,34.760,1.558,33.202,cero
0.210,0.144,36.075,7.658,28.417,cero
0.231,0.153,24.082,0.573,23.510,cero
0.124,0.089,11.038,-0.833,11.871,cero
0.211,0.146,16.053,1.347,14.706,cero
0.170,0.121,15.259,-3.316,18.575,cero
0.185,0.129,18.926,2.059,16.867,cero
0.169,0.117,26.028,0.005,26.023,cero
0.189,0.134,23.216,2.834,20.383,cero
0.145,0.098,16.789,0.115,16.674,cero
0.203,0.137,39.143,2.324,36.819,cero
0.125,0.085,24.007,3.830,20.177,cero
0.215,0.144,36.000,0.401,35.600,cero
0.230,0.153,32.354,1.284,31.071,cero
0.136,0.097,27.873,0.884,26.989,cero
0.188,0.132,15.296,0.625,14.671,cero
0.158,0.111,30.206,3.394,26.812,cero
0.182,0.124,26.711,1.531,25.180,cero
0.194,0.130,26.413,-2.582,28.996,cero
0.085,0.057,13.063,3.073,9.991,cero
0.137,0.097,11.114,2.074,9.040,cero
0.187,0.129,26.119,-0.059,26.178,cero
0.085,0.060,6.482,2.545,3.937,cero
0.137,0.093,17.383,0.861,16.521,cero
0.119,0.079,10.777,1.608,9.170,cero
0.173,0.117,23.928,0.061,23.866,cero
0.081,0.053,16.649,2.243,14.405,cero
0.217,0.144,39.131,4.580,34.551,cero
0.229,0.152,38.699,3.761,34.938,cero
0.154,0.109,28.208,0.104,28.104,cero
0.214,0.144,36.707,1.753,34.955,cero
0.166,0.119,21.710,2.660,19.050,cero
0.139,0.098,26.823,3.113,23.710,cero
0.167,0.118,30.124,0.534,29.590,cero
0.228,0.151,38.074,4.406,33.667,cero
